source_id,company,vendor,kind,filename,raw_rel_path,status,compiled_into,notes
logo-wave-20260917,HUSHFUSION,需方,image,logo-wave-1254.png,internal_sources/logo/logo-wave-1254.png,compiled,assets/icons.manifest.json; icons/favicon-32.png; icons/apple-touch-icon.png; assets/brand/mark-wave.png; assets/brand/app-icon.png; assets/brand/app-icon--day.png; icons/favicon-32--day.png; icons/apple-touch-icon--day.png,"消音波形图标(白线波形 + 中线,深蓝底 #042366,1254×1254);sha256 bb25bf8911fa095ae3ef06a6348525b9f91fb96724ca050e8cb0bb341dc116e5;需方 2026-09-17 提供,用于替换全站图标/顶栏标识"
art-plasma-ring,HUSHFUSION,需方,image,plasma-ring.png,assets/art/plasma-ring.png,compiled,assets/manifest.json; docs/ASSETS.md,插画切片(等离子环);自源图 clip_20260917_101147_1.png 裁剪
brand-app-icon,HUSHFUSION,需方,image,app-icon.png,assets/brand/app-icon.png,compiled,index.html; assets/manifest.json; docs/ASSETS.md,品牌切片(主标/标志/标语/纹理);自源图 clip_20260917_101147_1.png 裁剪
brand-app-icon-day,HUSHFUSION,需方,image,app-icon--day.png,assets/brand/app-icon--day.png,compiled,assets/icons.manifest.json; docs/ASSETS.md,应用图标槽位(昼间配色 浅海蓝绿底 #C9DDD5 + 深墨绿波形 #11302A);由需方消音波形标识派生(见 logo-wave-1254 行)
brand-list-frc,HUSHFUSION,需方,image,list-frc.png,assets/brand/list-frc.png,compiled,index.html; assets/manifest.json; docs/ASSETS.md,品牌切片(主标/标志/标语/纹理);自源图 clip_20260917_101147_1.png 裁剪
brand-mark-bolt-white,HUSHFUSION,需方,image,mark-bolt--white.png,assets/brand/mark-bolt--white.png,compiled,index.html; assets/manifest.json; docs/ASSETS.md,品牌切片(主标/标志/标语/纹理);自源图 clip_20260917_101147_1.png 裁剪
brand-mark-wave,HUSHFUSION,需方,image,mark-wave.png,assets/brand/mark-wave.png,compiled,index.html; assets/manifest.json; docs/ASSETS.md,品牌切片(主标/标志/标语/纹理);自源图 clip_20260917_101147_1.png 裁剪
brand-slogan-cn,HUSHFUSION,需方,image,slogan-cn.png,assets/brand/slogan-cn.png,compiled,index.html; assets/manifest.json; docs/ASSETS.md,品牌切片(主标/标志/标语/纹理);自源图 clip_20260917_101147_1.png 裁剪
brand-tile-vortex,HUSHFUSION,需方,image,tile-vortex.png,assets/brand/tile-vortex.png,compiled,index.html; assets/manifest.json; docs/ASSETS.md,品牌切片(主标/标志/标语/纹理);自源图 clip_20260917_101147_1.png 裁剪
cover-thumbnail-133,HUSHFUSION,bolloon,image,thumbnail_133.jpg,assets/cover/thumbnail_133.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-134,HUSHFUSION,bolloon,image,thumbnail_134.jpg,assets/cover/thumbnail_134.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-135,HUSHFUSION,bolloon,image,thumbnail_135.jpg,assets/cover/thumbnail_135.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-136,HUSHFUSION,bolloon,image,thumbnail_136.jpg,assets/cover/thumbnail_136.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-139,HUSHFUSION,bolloon,image,thumbnail_139.jpg,assets/cover/thumbnail_139.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-140,HUSHFUSION,bolloon,image,thumbnail_140.jpg,assets/cover/thumbnail_140.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-141,HUSHFUSION,bolloon,image,thumbnail_141.jpg,assets/cover/thumbnail_141.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-157,HUSHFUSION,bolloon,image,thumbnail_157.jpg,assets/cover/thumbnail_157.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-17,HUSHFUSION,bolloon,image,thumbnail_17.jpg,assets/cover/thumbnail_17.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
cover-thumbnail-18,HUSHFUSION,bolloon,image,thumbnail_18.jpg,assets/cover/thumbnail_18.jpg,compiled,docs/ASSETS.md,"点缀素材池(512×682 笔触封面);原样复制自 bolloon 项目,tools/import_covers.py 登记"
